Thread ID: 7114880
Total: 2.600000

 %self     total     self     wait    child    calls  name
  0.00      0.00     0.00     0.00     0.00        2  Struct::Tms#cstime
  0.00      0.00     0.00     0.00     0.00        2  Time#to_f
  0.00      0.00     0.00     0.00     0.00        2  Numeric#quo
  0.00      0.00     0.00     0.00     0.00        2  Rational#/
  0.00      0.00     0.00     0.00     0.00        2  Rational#to_f
  0.00      0.00     0.00     0.00     0.00        2  Fixnum#fdiv
  0.00      2.50     0.00     0.00     2.50     1000  Erector::HTML#__element__
  0.00      2.50     0.00     0.00     2.50     1000  Erector::Widget#div
  0.00      0.00     0.00     0.00     0.00     1000  Kernel#object_id
  0.00      0.00     0.00     0.00     0.00        2  Float#/
  0.00      0.00     0.00     0.00     0.00        1  String#downcase!
  0.00      0.00     0.00     0.00     0.00        1  String#tr!
  0.00      0.00     0.00     0.00     0.00       10  String#gsub!
  0.00      0.00     0.00     0.00     0.00        2  String#initialize_copy
  0.00      0.00     0.00     0.00     0.00        1  Benchmark::Tms#initialize
  0.00      0.00     0.00     0.00     0.00        1  ActiveSupport::Inflector#underscore
  0.00      0.00     0.00     0.00     0.00        1  String#underscore
  0.00      0.00     0.00     0.00     0.00        2  Kernel#puts
  0.00      0.00     0.00     0.00     0.00        1  Module#to_s
  0.00      0.00     0.00     0.00     0.00     1000  <Class::Isy::Widget::Base>#css_class
  0.00      0.00     0.00     0.00     0.00        2  IO#puts
  0.00      0.00     0.00     0.00     0.00     2000  <Class::Isy::Widget::Base>#wrapper
  0.00      0.00     0.00     0.00     0.00     2000  <Class::Isy::Widget::Base>#wrapped_in
  0.00      2.52     0.00     0.00     2.52     1000  Isy::Widget::Base#content_with_wrapper
  0.00      0.00     0.00     0.00     0.00     1000  Kernel#lambda
  0.00      0.00     0.00     0.00     0.00     2000  Hash#fetch
  0.00      0.00     0.00     0.00     0.00        1  Benchmark::Tms#to_s
  0.00      0.00     0.00     0.00     0.00        1  Benchmark::Tms#format
  0.00      0.00     0.00     0.00     0.00        4  String#%
  0.00      0.00     0.00     0.00     0.00     2000  Erector::AbstractWidget#parent
  0.00      2.56     0.00     0.00     2.56     1000  Erector::AbstractWidget#_render
  0.00      0.00     0.00     0.00     0.00     1000  Erector::Caching::ClassMethods#cache
  0.00      0.00     0.00     0.00     0.00     1000  Erector::Caching#cache
  0.00      0.00     0.00     0.00     0.00     1000  Erector::Caching#should_cache?
  0.00      2.56     0.00     0.00     2.56     1000  Erector::Caching#_render
  0.00      2.58     0.00     0.00     2.58     1000  Erector::AbstractWidget#to_html
  0.00      0.00     0.00     0.00     0.00     7000  Hash#initialize_copy
  0.00      0.00     0.00     0.00     0.00     7000  <Class::Hash>#allocate
  0.00      0.00     0.00     0.00     0.00        3  IO#write
  0.00      2.59     0.00     0.00     2.59     1000  Isy::Widget::Base#to_html
  0.00      0.00     0.00     0.00     0.00        4  Erector::AfterInitialize::ClassMethods#after_initialize_parts
  0.00      0.00     0.00     0.00     0.00        1  Erector::AfterInitialize::ClassMethods#after_initialize(d3)
  0.00      0.00     0.00     0.00     0.00        1  Erector::AfterInitialize::ClassMethods#after_initialize(d2)
  0.00      0.00     0.00     0.00     0.00        1  Erector::AfterInitialize::ClassMethods#after_initialize(d1)
  0.00      0.00     0.00     0.00     0.00        7  Class#superclass
  0.00      0.00     0.00     0.00     0.00        1  Erector::AfterInitialize::ClassMethods#after_initialize
  0.00      0.00     0.00     0.00     0.00        3  Array#empty?
  0.00      0.00     0.00     0.00     0.00        2  Array#-
  0.00      0.00     0.00     0.00     0.00        1  Array#flatten
  0.00      0.00     0.00     0.00     0.00        1  Array#map
  0.00      0.00     0.00     0.00     0.00        3  Erector::Needs::ClassMethods#needed_variables
  0.00      0.00     0.00     0.00     0.00     6014  Array#push
  0.00      0.00     0.00     0.00     0.00      289  Kernel#respond_to_missing?
  0.00      0.00     0.00     0.00     0.00        2  Array#each(d3)
  0.00      0.00     0.00     0.00     0.00        2  Enumerable#inject(d3)
  0.00      0.00     0.00     0.00     0.00        2  Erector::Needs::ClassMethods#get_needs(d3)
  0.00      0.00     0.00     0.00     0.00        6  Array#each(d2)
  0.00      0.00     0.00     0.00     0.00        6  Enumerable#inject(d2)
  0.00      0.00     0.00     0.00     0.00        6  Erector::Needs::ClassMethods#get_needs(d2)
  0.00      0.00     0.00     0.00     0.00        7  Array#each(d1)
  0.00      2.39     0.00     0.00     2.39     5000  Proc#call
  0.00      0.00     0.00     0.00     0.00        6  Erector::Needs::ClassMethods#get_needs(d1)
  0.00      0.00     0.00     0.00     0.00        1  Kernel#throw
  0.00      0.00     0.00     0.00     0.00        1  RSpec::Core::Example#run_after_each
  0.00      0.11     0.00     0.00     0.11    12003  Enumerable#inject
  0.00      0.00     0.00     0.00     0.00       16  Array#initialize_copy
  0.00      0.00     0.00     0.00     0.00        1  <Class::RSpec::Core::ExampleGroup>#eval_after_eachs
  0.00      0.00     0.00     0.00     0.00       16  <Class::Array>#allocate
  0.00      0.00     0.00     0.00     0.00       18  Kernel#dup
  0.00      0.00     0.00     0.00     0.00       16  Array#[]
  0.00      0.00     0.00     0.00     0.00       16  Module#ancestors
  0.00      0.00     0.00     0.00     0.00        2  Erector::Needs::ClassMethods#get_needs
  0.00      0.00     0.00     0.00     0.00        1  Erector::Needs::ClassMethods#needed_defaults
  0.00      0.00     0.00     0.00     0.00        1  Hash#keys
  0.00      0.00     0.00     0.00     0.00        1  Kernel#instance_variable_set
  0.00      0.00     0.00     0.00     0.00        1  String#[]
  0.00      0.00     0.00     0.00     0.00        1  <Class::RSpec::Core::ExampleGroup>#ancestors
  0.00      0.00     0.00     0.00     0.00        1  RSpec::Core::Hooks#run_hook
  0.00      0.00     0.00     0.00     0.00        1  RSpec::Core::Hooks#hooks
  0.00      0.00     0.00     0.00     0.00        1  Erector::AbstractWidget#initialize
  0.00      0.00     0.00     0.00     0.00        1  Erector::Needs#initialize
  0.00      0.00     0.00     0.00     0.00        1  Erector::AfterInitialize#initialize
  0.00      0.00     0.00     0.00     0.00        1  RSpec::Core::Hooks::AfterHooks#run_all
  0.00      0.00     0.00     0.00     0.00        1  Array#reverse
  0.00      0.00     0.00     0.00     0.00        1  Isy::Component::Base#widget_assigns
  0.00      0.00     0.00     0.00     0.00        1  Module#const_get
  0.00      0.00     0.00     0.00     0.00     5001  Hash#default
